code_pays,pays,produit,code_produit,origin,dispo_alim_tonnes,dispo_alim_kcal_p_j,dispo_prot,dispo_mat_gr,id
1,Arménie,Blé,2511,Vegetale,141910613.0,1024.0,30.52,3.6,1_2511
1,Arménie,Orge,2513,Vegetale,0.0,0.0,0.0,0.0,1_2513
1,Arménie,Maïs,2514,Vegetale,32598.15,0.0,0.01,,1_2514
1,Arménie,Seigle,2515,Vegetale,130392.6,1.0,0.02,0.0,1_2515
1,Arménie,Avoine,2516,Vegetale,402043.85,2.0,0.09,0.03,1_2516
1,Arménie,Millet,2517,Vegetale,,,,,1_2517
1,Arménie,Sorgho,2518,Vegetale,,,,,1_2518
1,Arménie,"Céréales, Autres",2520,Vegetale,2129745.8,14.0,0.39,0.04,1_2520
1,Arménie,Pommes de Terre,2531,Vegetale,49005885.5,82.0,1.94,0.12,1_2531
1,Arménie,Manioc,2532,Vegetale,,,,,1_2532
1,Arménie,Racines nda,2534,Vegetale,,,,,1_2534
1,Arménie,"Sucre, betterave",2537,Vegetale,,,,,1_2537
1,Arménie,Sucre Eq Brut,2542,Vegetale,35890563.15,302.0,,,1_2542
1,Arménie,Edulcorants Autres,2543,Vegetale,1977621.1,18.0,,,1_2543
1,Arménie,Haricots,2546,Vegetale,,,,,1_2546
1,Arménie,Pois,2547,Vegetale,,,,,1_2547
1,Arménie,Légumineuses Autres,2549,Vegetale,0.0,0.0,0.0,,1_2549
1,Arménie,Noix,2551,Vegetale,2336200.75,18.0,0.42,1.76,1_2551
1,Arménie,Soja,2555,Vegetale,0.0,0.0,,,1_2555
1,Arménie,Arachides Decortiquees,2556,Vegetale,434642.0,6.0,0.29,0.55,1_2556
1,Arménie,Graines de tournesol,2557,Vegetale,,,,,1_2557
1,Arménie,Graines Colza/Moutarde,2558,Vegetale,0.0,0.0,0.0,0.0,1_2558
1,Arménie,Coco (Incl Coprah),2560,Vegetale,86928.4,0.0,0.0,0.03,1_2560
1,Arménie,Sésame,2561,Vegetale,10866.05,0.0,0.0,0.01,1_2561
1,Arménie,Olives,2563,Vegetale,999676.6,3.0,0.03,0.28,1_2563
