code_pays,pays,code_produit,produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations,id
1,Arménie,2511,Blé,554000000.0,93000000.0,30000000.0,32000000.0,10000000.0,389000000.0,0.0,1_2511
1,Arménie,2513,Orge,198000000.0,137000000.0,14000000.0,15000000.0,7000000.0,0.0,26000000.0,1_2513
1,Arménie,2514,Maïs,102000000.0,96000000.0,0.0,7000000.0,,0.0,,1_2514
1,Arménie,2515,Seigle,1000000.0,1000000.0,0.0,0.0,,0.0,,1_2515
1,Arménie,2516,Avoine,6000000.0,4000000.0,0.0,0.0,,1000000.0,,1_2516
1,Arménie,2517,Millet,0.0,0.0,,,,,,1_2517
1,Arménie,2518,Sorgho,0.0,0.0,,,,,,1_2518
1,Arménie,2520,"Céréales, Autres",21000000.0,1000000.0,1000000.0,1000000.0,,6000000.0,12000000.0,1_2520
1,Arménie,2531,Pommes de Terre,672000000.0,225000000.0,123000000.0,96000000.0,78000000.0,134000000.0,16000000.0,1_2531
1,Arménie,2532,Manioc,0.0,0.0,,,,,,1_2532
1,Arménie,2534,Racines nda,0.0,0.0,,,,,,1_2534
1,Arménie,2537,"Sucre, betterave",55000000.0,1000000.0,,,54000000.0,,,1_2537
1,Arménie,2542,Sucre Eq Brut,93000000.0,,,,,98000000.0,0.0,1_2542
1,Arménie,2543,Edulcorants Autres,5000000.0,,,,,5000000.0,0.0,1_2543
1,Arménie,2546,Haricots,5000000.0,5000000.0,0.0,0.0,,,,1_2546
1,Arménie,2547,Pois,2000000.0,2000000.0,,,,,,1_2547
1,Arménie,2549,Légumineuses Autres,3000000.0,3000000.0,,0.0,,0.0,,1_2549
1,Arménie,2551,Noix,6000000.0,,,0.0,,6000000.0,,1_2551
1,Arménie,2555,Soja,0.0,0.0,,,,0.0,,1_2555
1,Arménie,2556,Arachides Decortiquees,1000000.0,,,,,1000000.0,,1_2556
1,Arménie,2557,Graines de tournesol,2000000.0,0.0,,,2000000.0,,,1_2557
1,Arménie,2558,Graines Colza/Moutarde,0.0,0.0,,,,0.0,,1_2558
1,Arménie,2560,Coco (Incl Coprah),0.0,,,,,0.0,,1_2560
1,Arménie,2561,Sésame,0.0,,,,,0.0,,1_2561
1,Arménie,2563,Olives,3000000.0,,,,,3000000.0,,1_2563
1,Arménie,2570,"Plantes Oleiferes, Autre",1000000.0,1000000.0,,,,0.0,,1_2570
1,Arménie,2571,Huile de Soja,1000000.0,,,,,1000000.0,,1_2571
1,Arménie,2572,Huile d'Arachide,0.0,,,,,0.0,,1_2572
1,Arménie,2573,Huile de Tournesol,30000000.0,,,,,26000000.0,3000000.0,1_2573
1,Arménie,2574,Huile de Colza&Moutarde,0.0,,,,,0.0,,1_2574
1,Arménie,2575,Huile Graines de Coton,0.0,,,,,0.0,0.0,1_2575
1,Arménie,2576,Huile de Palmistes,0.0,,,,,0.0,,1_2576
1,Arménie,2577,Huile de Palme,1000000.0,,,,,,1000000.0,1_2577
1,Arménie,2578,Huile de Coco,1000000.0,,,,,1000000.0,,1_2578
1,Arménie,2579,Huile de Sésame,0.0,,,,,0.0,,1_2579
1,Arménie,2580,Huile d'Olive,0.0,,,,,0.0,0.0,1_2580
1,Arménie,2582,Huile de Germe de Maïs,0.0,,,,,0.0,,1_2582
1,Arménie,2586,Huil Plantes Oleif Autr,2000000.0,,,,0.0,0.0,2000000.0,1_2586
1,Arménie,2601,Tomates,273000000.0,,,11000000.0,,262000000.0,,1_2601
1,Arménie,2602,Oignons,53000000.0,,,0.0,,52000000.0,,1_2602
1,Arménie,2605,"Légumes, Autres",764000000.0,13000000.0,,27000000.0,,724000000.0,,1_2605
1,Arménie,2611,"Oranges, Mandarines",14000000.0,,,,,14000000.0,,1_2611
1,Arménie,2612,Citrons & Limes,1000000.0,,,,,1000000.0,,1_2612
1,Arménie,2613,Pamplemousse,2000000.0,,,,,2000000.0,,1_2613
1,Arménie,2614,"Agrumes, Autres",1000000.0,,,,,1000000.0,,1_2614
1,Arménie,2615,Bananes,2000000.0,,,,,2000000.0,,1_2615
1,Arménie,2616,Bananes plantains,8000000.0,,,,,8000000.0,,1_2616
1,Arménie,2617,Pommes,107000000.0,19000000.0,,8000000.0,7000000.0,74000000.0,,1_2617
1,Arménie,2618,Ananas,0.0,,,,,0.0,,1_2618
1,Arménie,2619,Dattes,0.0,,,,,0.0,,1_2619
1,Arménie,2620,Raisin,235000000.0,,,12000000.0,8000000.0,40000000.0,175000000.0,1_2620
1,Arménie,2625,"Fruits, Autres",206000000.0,,,19000000.0,0.0,187000000.0,,1_2625
1,Arménie,2630,Café,12000000.0,,,,,12000000.0,,1_2630
1,Arménie,2633,Feve de Cacao,7000000.0,,,,,7000000.0,,1_2633
1,Arménie,2635,Thé,0.0,,,,,0.0,,1_2635
1,Arménie,2640,Poivre,0.0,,,,,0.0,,1_2640
1,Arménie,2641,Piments,0.0,,,,,0.0,,1_2641
1,Arménie,2642,Girofles,0.0,0.0,,,,,,1_2642
1,Arménie,2645,"Épices, Autres",0.0,,,,,0.0,,1_2645
1,Arménie,2655,Vin,4000000.0,,,,,4000000.0,,1_2655
1,Arménie,2656,Bière,19000000.0,,,,,19000000.0,,1_2656
1,Arménie,2657,Boissons Fermentés,0.0,,,,,0.0,,1_2657
1,Arménie,2658,Boissons Alcooliques,1000000.0,,,,,1000000.0,,1_2658
1,Arménie,2659,"Alcool, non Comestible",0.0,,,,,,0.0,1_2659
1,Arménie,2680,Aliments pour enfants,0.0,,,,,0.0,,1_2680
1,Arménie,2731,Viande de Bovins,61000000.0,,,,,59000000.0,2000000.0,1_2731
1,Arménie,2732,Viande d'Ovins/Caprins,9000000.0,,,,,9000000.0,,1_2732
1,Arménie,2733,Viande de Suides,31000000.0,,,,,29000000.0,2000000.0,1_2733
1,Arménie,2734,Viande de Volailles,40000000.0,,,,,40000000.0,,1_2734
1,Arménie,2735,"Viande, Autre",0.0,,,,,0.0,,1_2735
1,Arménie,2736,Abats Comestible,17000000.0,,,0.0,,14000000.0,3000000.0,1_2736
1,Arménie,2737,Graisses Animales Crue,11000000.0,,,0.0,,11000000.0,0.0,1_2737
1,Arménie,2740,"Beurre, Ghee",5000000.0,,,,,5000000.0,,1_2740
1,Arménie,2743,Crème,0.0,,,,,0.0,,1_2743
1,Arménie,2744,Oeufs,35000000.0,,0.0,,,35000000.0,0.0,1_2744
1,Arménie,2745,Miel,2000000.0,,,,,2000000.0,,1_2745
1,Arménie,2761,Poissons Eau Douce,10000000.0,,,,,10000000.0,0.0,1_2761
1,Arménie,2762,Perciform,0.0,,,,,0.0,0.0,1_2762
1,Arménie,2763,Poissons Pelagiques,11000000.0,8000000.0,,,,2000000.0,0.0,1_2763
1,Arménie,2764,"Poissons Marins, Autres",1000000.0,,,,,1000000.0,0.0,1_2764
1,Arménie,2765,Crustacés,0.0,,,,,0.0,0.0,1_2765
1,Arménie,2766,Cephalopodes,0.0,,,,,0.0,0.0,1_2766
1,Arménie,2767,"Mollusques, Autres",0.0,,,,,0.0,0.0,1_2767
1,Arménie,2769,Animaux Aquatiques Autre,0.0,,,,,0.0,0.0,1_2769
1,Arménie,2775,Plantes Aquatiques,0.0,,,,,0.0,0.0,1_2775
1,Arménie,2781,Huiles de Poissons,0.0,,,,,0.0,0.0,1_2781
1,Arménie,2782,Huiles de Foie de Poisso,0.0,,,,,0.0,0.0,1_2782
1,Arménie,2805,Riz (Eq Blanchi),10000000.0,0.0,,,,9000000.0,,1_2805
1,Arménie,2848,Lait - Excl Beurre,671000000.0,48000000.0,,,0.0,622000000.0,,1_2848
1,Arménie,2899,Miscellanees,,,,,,,,1_2899
2,Afghanistan,2511,Blé,5992000000.0,,322000000.0,775000000.0,,4895000000.0,,2_2511
2,Afghanistan,2513,Orge,524000000.0,360000000.0,22000000.0,52000000.0,,89000000.0,,2_2513
2,Afghanistan,2514,Maïs,313000000.0,200000000.0,5000000.0,31000000.0,,76000000.0,,2_2514
2,Afghanistan,2517,Millet,13000000.0,,0.0,1000000.0,,12000000.0,,2_2517
2,Afghanistan,2520,"Céréales, Autres",0.0,,,,,0.0,,2_2520
2,Afghanistan,2531,Pommes de Terre,262000000.0,,23000000.0,9000000.0,,230000000.0,,2_2531
2,Afghanistan,2536,"Sucre, canne",90000000.0,81000000.0,,,9000000.0,,,2_2536
2,Afghanistan,2537,"Sucre, betterave",15000000.0,0.0,,,15000000.0,,,2_2537
2,Afghanistan,2542,Sucre Eq Brut,255000000.0,,,,,255000000.0,,2_2542
2,Afghanistan,2543,Edulcorants Autres,16000000.0,,,,,16000000.0,,2_2543
2,Afghanistan,2549,Légumineuses Autres,86000000.0,4000000.0,5000000.0,3000000.0,,74000000.0,,2_2549
2,Afghanistan,2551,Noix,44000000.0,,,,,44000000.0,,2_2551
2,Afghanistan,2557,Graines de tournesol,3000000.0,,0.0,,3000000.0,,,2_2557
2,Afghanistan,2559,Graines de coton,27000000.0,,1000000.0,,26000000.0,,,2_2559
2,Afghanistan,2560,Coco (Incl Coprah),0.0,,,,,0.0,,2_2560
2,Afghanistan,2561,Sésame,21000000.0,,1000000.0,1000000.0,4000000.0,16000000.0,,2_2561
2,Afghanistan,2563,Olives,7000000.0,,,0.0,4000000.0,2000000.0,,2_2563
2,Afghanistan,2570,"Plantes Oleiferes, Autre",3000000.0,,0.0,0.0,2000000.0,,,2_2570
2,Afghanistan,2571,Huile de Soja,16000000.0,,,,,16000000.0,,2_2571
2,Afghanistan,2572,Huile d'Arachide,0.0,,,,,0.0,,2_2572
2,Afghanistan,2573,Huile de Tournesol,23000000.0,,,,,23000000.0,,2_2573
2,Afghanistan,2574,Huile de Colza&Moutarde,2000000.0,,,,,2000000.0,,2_2574
2,Afghanistan,2575,Huile Graines de Coton,5000000.0,,,,,4000000.0,1000000.0,2_2575
2,Afghanistan,2577,Huile de Palme,119000000.0,,,,,64000000.0,55000000.0,2_2577
2,Afghanistan,2579,Huile de Sésame,1000000.0,,,,,1000000.0,,2_2579
2,Afghanistan,2580,Huile d'Olive,1000000.0,,,,,1000000.0,,2_2580
2,Afghanistan,2586,Huil Plantes Oleif Autr,361000000.0,,,,,2000000.0,359000000.0,2_2586
2,Afghanistan,2601,Tomates,0.0,,,,,0.0,,2_2601
2,Afghanistan,2605,"Légumes, Autres",1007000000.0,,,122000000.0,,885000000.0,,2_2605
2,Afghanistan,2611,"Oranges, Mandarines",145000000.0,,,0.0,,145000000.0,,2_2611
2,Afghanistan,2614,"Agrumes, Autres",41000000.0,,,2000000.0,,39000000.0,,2_2614
2,Afghanistan,2615,Bananes,82000000.0,,,,,82000000.0,,2_2615
2,Afghanistan,2617,Pommes,72000000.0,,,4000000.0,,68000000.0,,2_2617
2,Afghanistan,2618,Ananas,0.0,,,,,0.0,,2_2618
2,Afghanistan,2619,Dattes,1000000.0,,,,,1000000.0,,2_2619
2,Afghanistan,2620,Raisin,513000000.0,,,31000000.0,,483000000.0,,2_2620
2,Afghanistan,2625,"Fruits, Autres",240000000.0,,,17000000.0,,223000000.0,,2_2625
2,Afghanistan,2630,Café,0.0,,,,,0.0,,2_2630
2,Afghanistan,2633,Feve de Cacao,1000000.0,,,,,1000000.0,,2_2633
2,Afghanistan,2635,Thé,107000000.0,,,,,107000000.0,,2_2635
2,Afghanistan,2640,Poivre,0.0,,,,,0.0,,2_2640
2,Afghanistan,2645,"Épices, Autres",8000000.0,,,,,8000000.0,,2_2645
2,Afghanistan,2655,Vin,0.0,,,,,0.0,,2_2655
2,Afghanistan,2656,Bière,3000000.0,,,,,3000000.0,,2_2656
2,Afghanistan,2658,Boissons Alcooliques,0.0,,,,,0.0,,2_2658
2,Afghanistan,2680,Aliments pour enfants,2000000.0,,,,,2000000.0,,2_2680
2,Afghanistan,2731,Viande de Bovins,140000000.0,,,,,140000000.0,,2_2731
2,Afghanistan,2732,Viande d'Ovins/Caprins,150000000.0,,,,,150000000.0,,2_2732
2,Afghanistan,2734,Viande de Volailles,75000000.0,,,,,75000000.0,,2_2734
2,Afghanistan,2735,"Viande, Autre",12000000.0,,,,,12000000.0,,2_2735
2,Afghanistan,2736,Abats Comestible,53000000.0,,,,,53000000.0,,2_2736
2,Afghanistan,2737,Graisses Animales Crue,15000000.0,,,,,15000000.0,,2_2737
2,Afghanistan,2740,"Beurre, Ghee",36000000.0,,,,,36000000.0,,2_2740
2,Afghanistan,2743,Crème,18000000.0,,,,,18000000.0,,2_2743
2,Afghanistan,2744,Oeufs,47000000.0,,2000000.0,5000000.0,,40000000.0,,2_2744
2,Afghanistan,2745,Miel,2000000.0,,,,,2000000.0,,2_2745
2,Afghanistan,2761,Poissons Eau Douce,2000000.0,,,,,2000000.0,0.0,2_2761
2,Afghanistan,2805,Riz (Eq Blanchi),461000000.0,,14000000.0,24000000.0,,422000000.0,,2_2805
2,Afghanistan,2848,Lait - Excl Beurre,2083000000.0,123000000.0,,58000000.0,,1901000000.0,,2_2848
2,Afghanistan,2899,Miscellanees,,,,,,,,2_2899
3,Albanie,2511,Blé,650000000.0,18000000.0,18000000.0,44000000.0,,440000000.0,130000000.0,3_2511
3,Albanie,2513,Orge,19000000.0,7000000.0,0.0,1000000.0,9000000.0,1000000.0,1000000.0,3_2513
3,Albanie,2514,Maïs,420000000.0,361000000.0,3000000.0,44000000.0,3000000.0,6000000.0,3000000.0,3_2514
3,Albanie,2515,Seigle,3000000.0,,0.0,1000000.0,,2000000.0,,3_2515
3,Albanie,2516,Avoine,28000000.0,25000000.0,1000000.0,1000000.0,,0.0,,3_2516
3,Albanie,2517,Millet,0.0,0.0,,,,,,3_2517
3,Albanie,2518,Sorgho,0.0,0.0,0.0,0.0,,,,3_2518
3,Albanie,2520,"Céréales, Autres",0.0,0.0,,,,0.0,,3_2520
3,Albanie,2531,Pommes de Terre,262000000.0,75000000.0,29000000.0,23000000.0,,131000000.0,5000000.0,3_2531
3,Albanie,2532,Manioc,0.0,,,,,0.0,0.0,3_2532
3,Albanie,2533,Patates douces,1000000.0,,,,,1000000.0,,3_2533
3,Albanie,2534,Racines nda,0.0,,,,,0.0,,3_2534
3,Albanie,2537,"Sucre, betterave",40000000.0,1000000.0,,,39000000.0,,,3_2537
3,Albanie,2542,Sucre Eq Brut,69000000.0,,,,,56000000.0,13000000.0,3_2542
3,Albanie,2543,Edulcorants Autres,93000000.0,,,,,93000000.0,0.0,3_2543
3,Albanie,2546,Haricots,28000000.0,1000000.0,3000000.0,8000000.0,,16000000.0,,3_2546
3,Albanie,2547,Pois,0.0,,,,,0.0,,3_2547
3,Albanie,2549,Légumineuses Autres,3000000.0,1000000.0,1000000.0,0.0,,1000000.0,,3_2549
3,Albanie,2551,Noix,14000000.0,,,0.0,,13000000.0,,3_2551
3,Albanie,2555,Soja,0.0,,0.0,0.0,0.0,0.0,,3_2555
3,Albanie,2556,Arachides Decortiquees,1000000.0,,,,0.0,0.0,,3_2556
3,Albanie,2557,Graines de tournesol,2000000.0,,0.0,0.0,1000000.0,,,3_2557
3,Albanie,2558,Graines Colza/Moutarde,0.0,,,,,0.0,,3_2558
3,Albanie,2559,Graines de coton,1000000.0,,0.0,0.0,0.0,,,3_2559
3,Albanie,2560,Coco (Incl Coprah),0.0,,,,,0.0,,3_2560
3,Albanie,2561,Sésame,0.0,,,,,,0.0,3_2561
3,Albanie,2562,Palmistes,0.0,,,,,,0.0,3_2562
3,Albanie,2563,Olives,82000000.0,0.0,,2000000.0,7000000.0,73000000.0,,3_2563
3,Albanie,2570,"Plantes Oleiferes, Autre",0.0,0.0,,,,,0.0,3_2570
3,Albanie,2571,Huile de Soja,0.0,,,,,0.0,,3_2571
3,Albanie,2572,Huile d'Arachide,0.0,,,,,0.0,,3_2572
3,Albanie,2573,Huile de Tournesol,29000000.0,,,,,16000000.0,13000000.0,3_2573
3,Albanie,2574,Huile de Colza&Moutarde,0.0,,,,,0.0,,3_2574
3,Albanie,2575,Huile Graines de Coton,0.0,,,,,,0.0,3_2575
3,Albanie,2576,Huile de Palmistes,0.0,,,,,,0.0,3_2576
3,Albanie,2577,Huile de Palme,2000000.0,,,,0.0,0.0,2000000.0,3_2577
3,Albanie,2578,Huile de Coco,0.0,,,,,,0.0,3_2578
3,Albanie,2579,Huile de Sésame,0.0,,,,,,0.0,3_2579
3,Albanie,2580,Huile d'Olive,2000000.0,,,,,2000000.0,0.0,3_2580
3,Albanie,2582,Huile de Germe de Maïs,1000000.0,,,,,1000000.0,,3_2582
3,Albanie,2586,Huil Plantes Oleif Autr,4000000.0,,,,,4000000.0,1000000.0,3_2586
3,Albanie,2601,Tomates,207000000.0,,,22000000.0,0.0,185000000.0,,3_2601
3,Albanie,2602,Oignons,94000000.0,,,,,94000000.0,,3_2602
3,Albanie,2605,"Légumes, Autres",591000000.0,70000000.0,,22000000.0,,498000000.0,,3_2605
3,Albanie,2611,"Oranges, Mandarines",41000000.0,,,1000000.0,,40000000.0,,3_2611
3,Albanie,2612,Citrons & Limes,5000000.0,,,,,5000000.0,,3_2612
3,Albanie,2613,Pamplemousse,0.0,,,,,0.0,,3_2613
3,Albanie,2614,"Agrumes, Autres",1000000.0,,,,,1000000.0,,3_2614
3,Albanie,2615,Bananes,20000000.0,,,,0.0,20000000.0,,3_2615
3,Albanie,2616,Bananes plantains,1000000.0,,,,,1000000.0,,3_2616
3,Albanie,2617,Pommes,82000000.0,,,4000000.0,,78000000.0,,3_2617
3,Albanie,2618,Ananas,0.0,,,,,0.0,,3_2618
3,Albanie,2619,Dattes,12000000.0,,,,,12000000.0,,3_2619
3,Albanie,2620,Raisin,209000000.0,,,2000000.0,54000000.0,153000000.0,,3_2620
3,Albanie,2625,"Fruits, Autres",148000000.0,,,7000000.0,,141000000.0,,3_2625
3,Albanie,2630,Café,8000000.0,,,,,8000000.0,,3_2630
3,Albanie,2633,Feve de Cacao,2000000.0,,,,,2000000.0,,3_2633
3,Albanie,2635,Thé,0.0,,,,,0.0,,3_2635
3,Albanie,2640,Poivre,0.0,,,,,0.0,,3_2640
3,Albanie,2641,Piments,0.0,,,,,0.0,,3_2641
3,Albanie,2645,"Épices, Autres",0.0,,,,,0.0,,3_2645
3,Albanie,2655,Vin,25000000.0,,,,,25000000.0,,3_2655
3,Albanie,2656,Bière,86000000.0,,,,,86000000.0,,3_2656
3,Albanie,2657,Boissons Fermentés,0.0,,,,,0.0,,3_2657
3,Albanie,2658,Boissons Alcooliques,8000000.0,,,,,8000000.0,,3_2658
3,Albanie,2659,"Alcool, non Comestible",4000000.0,,,,,,4000000.0,3_2659
3,Albanie,2680,Aliments pour enfants,0.0,,,,,0.0,,3_2680
3,Albanie,2731,Viande de Bovins,71000000.0,,,,,71000000.0,,3_2731
3,Albanie,2732,Viande d'Ovins/Caprins,49000000.0,,,,,49000000.0,,3_2732
3,Albanie,2733,Viande de Suides,35000000.0,,,,,35000000.0,,3_2733
